AIRPORT_ID,AIRPORT_SEQ_ID,CITY_MARKET_ID,AIRPORT
10140,1014003,30140,ABQ
10194,1019403,30194,AFW
10221,1022103,30221,AIA
10257,1025702,30257,ALB
10272,1027203,30272,ALS
10279,1027903,30279,AMA
10299,1029904,30299,ANC
10325,1032504,30325,APA
10372,1037203,30372,ASE
10397,1039705,30397,ATL
10423,1042302,30423,AUS
10466,1046602,30466,AZA
10529,1052904,30529,BDL
10558,1055803,30558,BFF
10561,1056103,30561,BFL
10590,1059004,30590,IFP
10599,1059904,30599,BHM
10620,1062002,30620,BIL
10627,1062702,30627,BIS
10643,1064301,30643,BKG
10693,1069302,30693,BNA
10713,1071302,30713,BOI
10721,1072102,30721,BOS
10747,1074702,30747,BRO
10800,1080003,32575,BUR
10821,1082104,30852,BWI
10849,1084903,30849,BZN
10925,1092502,30925,CDR
10950,1095002,30950,CEZ
10994,1099402,30994,CHS
11003,1100303,31003,CID
11042,1104203,30647,CLE
11057,1105703,31057,CLT
11066,1106603,31066,CMH
11092,1109202,31092,CNY
11097,1109702,31097,COD
11109,1110902,30189,COS
11122,1112203,31122,CPR
11193,1119302,33105,CVG
11233,1123302,31233,CYS
11259,1125903,30194,DAL
11267,1126702,31267,DAY
11278,1127803,30852,DCA
11283,1128302,31283,DDC
11292,1129202,30325,DEN
11298,1129804,30194,DFW
11315,1131502,31315,DIK
11376,1137601,30977,DPA
11413,1141304,30285,DRO
11423,1142304,31423,DSM
11433,1143302,31295,DTW
11447,1144703,31447,DVL
11468,1146802,31468,EAR
11503,1150303,31503,EGE
11540,1154003,30615,ELP
11563,1156303,31563,ENV
11603,1160302,31603,EUG
11618,1161802,31703,EWR
11637,1163703,31637,FAR
11638,1163805,31638,FAT
11648,1164802,31648,FCA
11697,1169704,32467,FLL
11711,1171102,31711,FMN
11719,1171902,31719,FNL
11775,1177502,31775,FSD
11840,1184002,31840,GAD
11865,1186502,31865,GCC
11884,1188402,31884,GEG
11921,1192102,31921,GJT
11986,1198603,31986,GRR
11995,1199502,31995,GSO
12003,1200302,31895,GTF
12012,1201203,32012,GUC
12094,1209402,34699,HDN
12156,1215603,32156,HLN
12173,1217302,32134,HNL
12191,1219102,31453,HOU
12217,1221702,30255,HSV
12255,1225502,32255,HYS
12264,1226402,30852,IAD
12266,1226603,31453,IAH
12278,1227803,30928,ICT
12280,1228002,32280,IDA
12339,1233904,32337,IND
12389,1238902,32389,ISN
12441,1244102,32441,JAC
12451,1245102,31136,JAX
12478,1247803,31703,JFK
12519,1251902,32519,JMS
12544,1254403,32544,USA
12758,1275803,32758,KOA
12888,1288802,32888,LAR
12889,1288903,32211,LAS
12892,1289205,32575,LAX
12896,1289605,32896,LBB
12899,1289902,32899,LBF
12902,1290203,32902,LBL
12953,1295302,31703,LGA
12954,1295403,32575,LGB
12982,1298202,32982,LIH
12992,1299204,32600,LIT
13029,1302902,33029,LNK
13158,1315803,33158,MAF
13198,1319801,33198,MCI
13200,1320002,33200,MCK
13204,1320402,31454,MCO
13232,1323202,30977,MDW
13244,1324402,33244,MEM
13264,1326403,33264,MFR
13303,1330303,32467,MIA
13341,1334102,33198,MKC
13342,1334205,33342,MKE
13367,1336703,33367,MLI
13433,1343302,33304,MOT
13485,1348502,33485,MSN
13486,1348602,33486,MSO
13487,1348702,31650,MSP
13495,1349503,33495,MSY
13502,1350202,33502,MTJ
13796,1379604,32457,OAK
13830,1383002,33830,OGG
13851,1385103,33851,OKC
13871,1387102,33316,OMA
13891,1389101,32575,ONT
13930,1393004,30977,ORD
13931,1393102,33667,ORF
13964,1396403,33964,OTH
14057,1405702,34057,PDX
14100,1410002,34100,PHL
14107,1410702,30466,PHX
14120,1412002,34120,PIR
14122,1412202,30198,PIT
14193,1419304,33728,PNS
14252,1425202,34252,PSC
14262,1426204,34262,PSP
14288,1428803,34288,PUB
14457,1445702,34457,RAP
14489,1448902,34489,RDM
14492,1449202,34492,RDU
14512,1451202,34512,RFD
14524,1452401,34524,RIC
14534,1453402,34534,RIW
14543,1454302,34543,RKS
14570,1457002,34570,RNO
14576,1457604,34576,ROC
14635,1463502,31714,RSW
14674,1467402,34674,SAF
14679,1467903,33570,SAN
14683,1468303,33214,SAT
14689,1468902,34689,SBA
14698,1469802,34236,SBP
14730,1473003,33044,SDF
14747,1474703,30559,SEA
14771,1477102,32457,SFO
14783,1478302,34783,SGF
14792,1479201,34792,SGR
14794,1479403,34794,SGU
14814,1481402,30476,SHV
14831,1483104,32457,SJC
14869,1486903,34614,SLC
14877,1487704,34877,SLN
14893,1489302,33192,SMF
14908,1490803,32575,SNA
15016,1501603,31123,STL
15177,1517702,35177,TEX
15304,1530402,33195,TPA
15370,1537002,34653,TUL
15376,1537602,30436,TUS
15412,1541203,35412,TYS
15582,1558202,35582,VEL
15919,1591902,31834,XNA
